no,index,registration,name,address,postcode,tel,fax
58,j,,JCS _ Echigo Pte Ltd,"3, Woodlands Sector 1",738361,63684198,63684196
59,j,,John While Springs (S) Pte Ltd,"1, Kallang Sector #03-02",349276,67490748,67490806
60,j,,JSL Manufacturing Pte Ltd,37 Kallang Place ,339165,63928691,63928693
61,k,,Ka Shin Technologies (S) Pte Ltd,"33, Loyang Crescent ",509014,62527446,62564300
62,k,,Kemet Far East Pte Ltd,"32, Ang Mo Kio Ind. Park 2 #02-12",569510,64820990,64811363
63,k,,Kim Ann Engineering Pte Ltd,"No. 10, Sixth Lok Yang Road",628108,62302681,68611592
64,k,,Kinergy Pte Ltd,"1, Changi North Street 1, Lobby 2",498789,64810211,64820179
65,k,,Knight Auto Precision Engrg Pte Ltd,3 Toh Guan Road East ,608835,65668801,65668821
66,l,,Lian Ying Industries Engrg. Pte Ltd,"Blk 4, Marsiling Ind. Est. Rd 3, #01-28",739250,62697374,63687741
67,l,,Li-Tec Manufacturing Pte Ltd,"Blk 2, Bt Batok St.24 #04-01/02, Skytech  ",659480,65673709,65670556
68,l,,Long Tech Engrg Pte Ltd,"24A, Woodlands Loop ",737891,65551267,65554229
69,m,,M&D Precision Technology Pte Ltd.,"10 Ubi Crescent, Ubi Techpark #07-58",408564,67421988,67491988
70,m,,Makino Asia Pte Ltd,2 Gul Avenue,629649,68615722,68611600
71,m,,Manufacturing Network Pte Ltd,"8, First Lok Yang Road ",629731,68622311,68611322
72,m,,Mc-Cast Pte Ltd,"Blk 5  # 02-22, Ang Mo Kio Ind Pk 2A",567760,64830929,64830939
73,m,199308121R,Mechem Engineering & Trading Co. Pte Ltd,21 Joo Koon Road,628979,68610223,68610162
74,m,,Meiban Technology Pte Ltd,11 Ubi Road 1 #01-00 Meiban Ind Bldg.,408723,67355111,68462111
75,m,,Metal Component Engrg Pte Ltd,"No. 15, Senoko South Road",758076,67595575,67595565
76,m,,Microcast Pte Ltd.,"2, Woodlands Sector 1, #05-21, Woodlands Spectrum ",738068,64581081,64557235
77,m,,Micro-Mechanics Pte Ltd,"31 Kaki Bukit Place, Eunos Techpark",416209,67460800,67467700
78,m,,Mikron Singapore Pte Ltd,"No. 3, Loyang Way 1",508705,62991589,
79,m,,Mirai Calibration Laboratory  Pte Ltd,"53, Tuas South Ave1",637606,67917862,62613304
80,m,,Mitsubishi Electric Asia Pte Ltd,"307 Alexandra Road #05-01/02, Mitsubishi Electric Bldg. ",159941,64732308,64767439
